Review,SENTIMEN
Lumayan deh shopee sekarang sering2 bikin event ya,POSITIF
shopee memang oke Semua pesanan cepet datang,POSITIF
lumamayan membantu untuk beli barang gak usah pergi2 tingal pesan sajah pengiriman jga cepAtt...,POSITIF
sip pokoknya di shopee ,POSITIF
Aplikasi terbaik tapi coba deh buat flash salenya dibanyakin stoknya suka ga dapat,POSITIF
Banyak gratis ongkirnya,POSITIF
Shopee mantap kalau bisa harga di turunin ??,POSITIF
belanja ga usah ribet di shopee ja,POSITIF
"Bagus banget,tapi kadang kadang loading terus",POSITIF
Kenapa di aplikasi saya tidak ada spay later?,POSITIF
"Sejauh ini, puas dengan aplikasi shoppe. Aplikasi sejuta umat. Tapi kenapa yang cod hanya bisa untuk 1 hari saja ya?",POSITIF
Bagaimana download shopee terbaru yang bisa upload video buat retur barang,POSITIF
Kualitas barang sangat baik,POSITIF
"Lebih mudah memilih smw kebutuhan, banyak gratis ongkirY...",POSITIF
"pakai shopee puas banget, tapi tolong dong shopeepaylaternya kapan bisa di gunakan lagi huhu.",POSITIF
"Voucher gratis ongkirnya sekarang sedikit banget,,dulu sebulan sekali dapat 2 voucher,, Sekarang enggak",POSITIF
Lebih banyak gratis ongkir nya..,POSITIF
bagus dan mantap,POSITIF
Kadang suka ngelag. Tapi rata-rata oke. Sayang voucher gratis ongkir tidak sebanyak dulu,POSITIF
seneng banget bisa belanja di shopee ga rugi deh,POSITIF
"Apl ini cukup membantu banget bagi rakyat Indonesia, apa lagi seperti keadaan dan situasi sperti skg ini, meskipun covid-19 sedang mlanda, tapi kita tetep bisa belanja dari rumah, terimakasih shopee",POSITIF
Respon cepat...ongkir harus lebih murah lagi,POSITIF
untuk sekarang puas banget..,POSITIF
"Pelanggan setia .. Sampe dapat aplikasi shopee pinjam . tapi sayang.nya stelah pengajuan d setujui pd hari yang sma ketika pengajuan smpe sekarang dana ga cair"" .. Udh semingguan .. Complain chat . email ga ad hasil .. Judul.nya d php.in nihh sma shopee",POSITIF
Shopee online shop terpercaya lh pokoknya,POSITIF
"Loadingnya biasa agak lama, meski pakai wifi ataupun pakait data",POSITIF
"Mempermudah belanja,,,,sayakn orangnya jarang kemana""",POSITIF
"Sebenarnya lumayan bagus, cuma semakin lama dibuka semakin lambat",POSITIF
"Sebenernya shopee ini bagus, cuman saran aja kembaliin fitur di wishlist yang ga sekaligus ketandain, biar kita ga susah ubah pesanan satu2 yang ada di wishlist pas mau cekout barang tertentu. Terus cek koinnya jangan pelit2lah kasih koinnya, dikurangin mulu sih jumlah koin per harinya ??",POSITIF
"Belanja nyaman, belanja aman",POSITIF
"Bagus dn mntapi cumann......ap gunanya perpanjang masa pembayaran,,tiba2"" di cancel sndari olh pihak sophee",POSITIF
"Belanja mudah, harga bersaing, bnyak voucher terutama free ongkir. tapi hrus teliti beli barang murah, heheh, kualitas sesuai harga",POSITIF
Suka banget deh,POSITIF
"Bagus,untuk saat ini pelayanannya cukup puas,barang yang di pesan sesuai,cuma sampainya estimasi pengiriman agak lama,1 minggu??",POSITIF
Puas belanja d shopee,POSITIF
"saya suka belanja di shopee sih, sayangnya voucher free ongkirnya terlalu minimalis, apalagi untuk barang yang ada diluar jawa otomatis ongkirnya lebih mahal:') lebih dibanyakin lagi dong vouchernya",POSITIF
Simple dan kompetitif,POSITIF
Barang nya baguss,POSITIF
Saya sebagai pelanggan sangat puas dengan shopee tetapi tolong ditambahkan fitur saat checkout kita masih bisa menggunakan shopepay walau saldonya kurang dan kekurangannya bisa dibayar melalui COD sekian dari saya terimakasih..............,POSITIF
Bagus banget aplikasi shopee nya,POSITIF
Harga produk bagus Produk original,POSITIF
Bagus shopee membantuku dalam berjualan online,POSITIF
Puas belanja di shopee,POSITIF
"pengiriman ok ,kurirnya ok ok .",POSITIF
Gratis ongkirnya suka hilang hilang cuma itu yang kurang aku suka jadi kasih bintang 4 saja dulu,POSITIF
"Saya suku belanja di aplikasi ini cuma kadang kecewanya pesanan sama barang datang tidak sesuai itu aja terus tidak ada konfirmasi apa2 , sukanya pengiriman cepet",POSITIF
"Shopee sangat membantu, belanja gak harus ribet... Dan kualitas produk nya bagus sesuai pict nya",POSITIF
"Bagus sih cuman ada kendala nya yaitu saya sudah klaim voucher gratis ongkir tapi malah gabisa dipakai voucher nya :""(",POSITIF
Assalamu'alaikum warahmatullahi wa barokatuh saya Nayla?? kenapa saya kasih bintang 4 karena harusnya shopee ini ada foto dari pembelinya agar lebih de l dan lengkap ??????????,POSITIF
"Saya senang pakai shopee, selama order gak pernah barang diterima cacat. tapi kenapa akun saya di nonaktifkan untuk COD. Padahal gak pernah menggagalkan orderan secara sepihak. Dari pelapaknya yang barang kosong",POSITIF
"Sejak ada shopee aku kalau belanja jadi lebih mudah,walaupun kasang ongkos kirimnya lebih mahal daripada harga barang yang dibeli",POSITIF
"Aplikasi online shop ini bagus sih..... Bisa gratis ongkir sampe Rp0 tapi sayangnya gk semua produk bisa sampe segitu ongkirnya. dan jasa pengiriman shopee express standard juga nggak bisa cod lagi.... sayang banget, jadi kalau mau cod yah harus pakai j&t yang ongkirnya mahal banget. produk yang di ke...Ulasan Lengkap",POSITIF
Sejauh ini hasil dari barang yang dibeli bagus dan pelayanannya cepat ,POSITIF
Shopee sekarang gratis ongkir memerlukan shopeepay kalau tidak ada shopeepay ya harus nanggung ongkir sendiri Dulu shopee banyak banget gratis ongkir sekarang berubah mungkin karena zaman...,POSITIF
mudah dan cepat pelayanannya terimakasih shopee,POSITIF
Tingkatkan lagi aplikasinya sejauh ini sudah bagus,POSITIF
Mantap shopee terbaik,POSITIF
"Lumayan bisa buat cari pengahasilan di sini,tapi malas ny tiap bulan diperbaruin Terus",POSITIF
sangat membantu,POSITIF
Bagus pelayanannya memuaskan,POSITIF
Shopee keren membantu saya dalam membeli kebutuhan secara cepat,POSITIF
"Suka belanja dishopee, terpercaya dan terbaik deh pokoknya",POSITIF
"hai Shopee aku suka banget sama kamu,tapi sejak adanya jasa kirim otomatis pembeli saya jadi nggak bisa bikin pesanan dengan akhirnya nggak bisa check out deh..gimana coba?",POSITIF
Sekian lama belanja di shopee tidak pernah kecewa,POSITIF
Shopee mantap pertahankan,POSITIF
Bagus terimakasih shopee,POSITIF
"Selama belanja di shoppe alhamdulillah barang yang datang sesuai. Pertahankan terus tingkat pelayanannya, semoga gak nyecewain.",POSITIF
"sangat membantu semogaa pihak shopee ny bisa lebih teliti dalam produk yang dijual biar g ad yang palsu² gitu, jadi g ngerugiin nama shope hhe",POSITIF
kualitas produk baik pngiriman barang aja lama sama ongkir mahal,POSITIF
"Dari dulu sudah pakai shoppe, emang mantep apalagi pas ada fitur paylater, tapi kok sekarang udh kagak ada yah?? Tolong dong pihak shoppe adain lagi fitur paylater karena itu sangat ngebantu sekali buat kami yang mau memulai usaha. Semoga bisa lebih baik lagi kedepannya ????",POSITIF
"Bagus banget aplikasi yang membantu saya  jualan tapi belum ngerti ini cara daftar rekening kenapa ga masuk2 nya sms pemberitahuan kode nya tolong bantuan nya,",POSITIF
Walaus sudah bagus tapi masih banyak penjual yang melakukan kecurangan jadi bintang 4 aja,POSITIF
 Bravo Shopee..harus lebih profesional memilih Prodaks yang MURTAGUS ( Murah Tapi Bagus)...,POSITIF
Semoga tetap amanah,POSITIF
Puas belanja di shopee,POSITIF
"produknya komplit dan banyak bonusnya,,,,",POSITIF
"Bagus sangat membantu ,, tapi kenapa adik aku ngga ada minimal belanja untuk gratis ongkir, aku ada ???? tapi suka kok app ini .",POSITIF
Aplikasi ini bagus banget Pokok nya ok lh Nggak bisa lagi gwe mau ketik apa lagi Karena aplikasi yang basgus,POSITIF
"Membantu sekali untuk kebutuhan barang, cuma banyak toko yang slow respon dan bahkan sering tidak dibalas",POSITIF
Respown penjual cepat,POSITIF
Bagus sekali shopee pelayanannya,POSITIF
Responnya cepat.belanja di shopee aman dan mudah,POSITIF
Selama ini memuaskan karena selalu ngga kecewa,POSITIF
Aplikasi nya bagus cuma saya sedikit kecewa karena saya sudah 6 kali mengajukan pinjaman di shopee leater tapi belum pernah sukses padahal saya sudah lama menggunakan aplikasi shopee belanja pun sering dan saya juga kecewa saya tidak bisa menghapus akun shopee saya,POSITIF
Belanja ga perlu ribet keluar rumah ,POSITIF
Pengiriman cepat barang sesuai pesanan terimakasih shopee,POSITIF
Banyak membantu,POSITIF
"Cukup bagus,, pertahankan",POSITIF
"banyakin gratis ongkir ya, cod nya juga jangan kasi minim"" belanja hehe",POSITIF
Saya cukup puas,POSITIF
"Layanan bagus, jangan sampai ada seller yang tipu2 ya.....",POSITIF
cukup responsif dengan komplain pembeli,POSITIF
Memudahkan berbelanja,POSITIF
sangat puaass belanja di shopee,POSITIF
Ada kenaikan bintang dari ulasan saya yang dahulu. Saya kasih bintang 4.,POSITIF
Bagus dan selalu dipertahankan,POSITIF
"Belanja online terpercaya, semoga makin banyak voucher gratis ongkirnya",POSITIF
"Shopee sekarang lbh sering suruh update terus.sekarang belanja di shopee kadang suka lemot kalau akut mo ngelacak lokasi barang sudah sampe mana,kadang masih di kemas padahal barang sudah di kirim sama penjual.lemot banget sekarang shopee,lama banget tampilin gambar2nya jadi mls duluan kalau mo bli.sekarang shopee gratis ongkirnya lbh banyak...Ulasan Lengkap",POSITIF
Suka belanja di Shopee,POSITIF
Layanannya ceppat dan memuaskan,POSITIF
Belanja online ku hanya di shopee aja ??,POSITIF
Bagus sih bosku lebih nyaman... Cuma kurangnya satu ongkirnya kemahalan bosku di bandingin toko sebelah...ya wlwpun bnyk promonya tapi Tidak semua pengguna dapat!!,POSITIF
Gratis ongkirnya tambah lagi yang bukan shope pay biar smangat belanja nya,POSITIF
Transaksi nyaman & aman,POSITIF
Aplikasi keren yang bisa menghasilkan uang dan juga memudahkan dalam berbelanja ????????,POSITIF
"Bagus aplikasi nya. Tapi banyak racun, bikin dompet nangis :(",POSITIF
"Bagus, tapi apabila pembeli komplain barang, selalu yang dibela penjual.",POSITIF
Barang sesuai pesanan pokoknya ????,POSITIF
"Mantap, banyak free ongkirnya...",POSITIF
Banyakin voucher gratis ongkirnya dong,POSITIF
Kalo shopee. belanja sepatu ada ukuranya gax..soalnya saya blum prnh pke shope. Biasa nya saya pke lazada..mudah2an ja gampng belanja nya..biar jadi lnggann d shope,POSITIF
Semoga membantu bagi orang lain,POSITIF
Memang oke... Yang penting belanja sesuai prosedur shopee biar amanah..,POSITIF
Berbelanja mudahh,POSITIF
"Banyak promo no kaleng2, gak seperti sebelah",POSITIF
Bagus dan memuaskan,POSITIF
Mantap,POSITIF
Kualitas barang sesuai..,POSITIF
Pengiriman dapat dipercaya Semoga kedepanya lebih maju lagi Dan banyak gratis ongkir:v,POSITIF
Selama ini suka masih yang terbaik ????,POSITIF
Selama ini setelah berbelanja menggunakan shopee belum ada kendala apapun.,POSITIF
sudah bisa log in makasih shopee...ga jadi beli hp baru karena pakai hp lama masih bisa...tidak merepotkan...semoga lebih baik lagi ya,POSITIF
Sejauh ini transaksinya ok. Hanya perlu perbaikan pada aplikasi karena membutuhkan kuota yang besar. Sehingga di daerah yang sinyalnya kurang bagus agak berat dan lambat sekali....,POSITIF
Lumayan puas menjadi seller d shopee,POSITIF
Pokoknya keren ini aplikasi,POSITIF
Sangat memuaskan??????????,POSITIF
Belanja di shopee bagus sesuai pesanan,POSITIF
"Bagus, memudahkan berbelanja di era online spt skg.",POSITIF
Alhamdulillah selalu langganan sama shopee,POSITIF
Sering banget belanja disini.. ga mengecewakan.. apapun yang aku butuh ada di shopee.. memang ada beberapa toko yang ga jujur atau menjual barang yang tidak sesuai denga foto yang dipajang.. tapi sejauh ini sih puas2 aja kok pakai aplikasi ini..,POSITIF
Sukses terus ya buat aplikasi ini,POSITIF
Terbaik aku suka....!!!,POSITIF
Pembelian lebiih aman dan terpercaya,POSITIF
Bagus banget aplikasi nya,POSITIF
"sudah bagus kak, kalo bisa tambahin fitur topup gopay pliss mau bangett??????",POSITIF
"Aplikasi terbaik ,,, kalau ongkir nya free tambah sippp",POSITIF
Situs belanja online The Best ,POSITIF
Suka bangett,POSITIF
Aplikasi ini sangat bagus,POSITIF
Pengiriman tidak pernah meleset dan cepat pastinya.,POSITIF
selalu belanja di shopee karena banyak gratis ongkirnya ,POSITIF
Toplah shoppee....,POSITIF
Saya kasih bintang lima (5) buat aplikasi shopee nya . Sangat rekomendasi banget deh tidak mengecewakan pelanggannya.???? Terimakasih Shopee.???? Tambahin lagi bonus nya buat saya ya kak.???? Tapi saya belanja di Shopee belum pernah dapat hadiah HP Canggih sih kak.,POSITIF
Aplikasi ini memang bagus dan menarik,POSITIF
Baru pertama kali download langsung dapat barang gratisan,POSITIF
Puas banget belanja di shopee,POSITIF
"Sagat berguna bagi pelanja online,pengiriman cepat",POSITIF
Belanja dishopee mudah cepat sesuai pesanan seneng deh...dah langganan ????????,POSITIF
BAGUS BANGET INI aplikasi SYOPI AKU SUKA BANGET,POSITIF
"Belanja gampang, pilihan banyak, harga nyaman d kantong...",POSITIF
"Assalamualaikum,ak suuukkkkaaa baattt aplikasi ini",POSITIF
"pakai Shopee pasti untung,aplikasi dr Sabang sampai merauke,yang lain...cukup.",POSITIF
Ak suka dengan aplikasi ini bisa belanja2 makasih ya shopee,POSITIF
Toko online shop sangat memuaskan customer nya secara pelayanan dan produk,POSITIF
Cinta banget sm shopee,POSITIF
"Kalau bisa ongkir nya jangan mahal,,ok Kaka...semoga ada big shale barang ORI ya ka jangan kw hehe ??",POSITIF
baguss,POSITIF
barang selalu sesuai pesanan,POSITIF
Bagus banget.. Aku puas.. Pengemasan rapi banget.. Makasih ya seller,POSITIF
Harga terjangkau pngriman ok.kualitas djaga ok.,POSITIF
Aman dan terpercayaaaa,POSITIF
"Terimakasih atas adanya shopee mau belanja apa aja bisa semuanya ada dishopee. tapi kenapa ya voucher cod nya gak bisa di gunakan. Harus menggunakan shopeepay dulu voucher nya baru bisa digunakan, agak bete dehh.. tolong ditingkatkan lagi ya shopee. Terimakasih ????",POSITIF
"Sangat memuaskan , terimakasih, makin sukses shopee",POSITIF
Mantep dah pkoknya,POSITIF
Terima kasi shopeee atas pelayanya...,POSITIF
"suka hyung aplikasi nya!! jadi mudah belanja tanpa harus keluar rumah, banyak diskon sama voucher gratis ongkir nya jga, terus harga nya kbnykan lebih murah?? besttt lahhh pokok nya aplikasi racunn yang warrrbiasaaa sukaa????",POSITIF
"Memudah kan  untuk mencari dan membeli barang, ter utama barang yang sudah langka daerah saya.",POSITIF
Saya puas sekali dengan sopee berbelanja dengan murah tampa kemana2,POSITIF
Saya sangat suka...,POSITIF
saya suka,POSITIF
Murah cepat tepat,POSITIF
"Belanja jadi mudah, harga jg murah",POSITIF
Pelayanan bagus tapi kadang dr pihak penjual kurang cepat merespon,POSITIF
"Shope terpercaya, banyak promo murahh gratis ongkir.. Is the best",POSITIF
Saya sangat senang belaja di shopee,POSITIF
Barang di shopee bangus2 real pic pelayanan sangat ramah shopee is the best,POSITIF
Puas belanja di shopee,POSITIF
Aplikasi favorit belnja onlen,POSITIF
selalu belanja di shopee...,POSITIF
Alhamdulillah belanja di shopee mantap,POSITIF
Shopee de besss dahh,POSITIF
Sangat puas belanja d shopee selernya rama dapat chasbek gratis ongkir Terimakasih shopee????,POSITIF
"Terimakasih shopee Semua di shopee bagaikan secepat kilat dan barang terjangkau bagi kami selaku penghobi barang perkakas kerja.karena kami bagian dari pekerja,senang berkreasi dalam dunia pekerjaan di tunjang alat2 kerja.i love shopee?????????????????????",POSITIF
bagus banagttt tiada kata lain lagi,POSITIF
Tambah lagi gratis ongkir nya,POSITIF
"Shopee sangat membantu sekali, semua yang di butuhkan ada di shopee, shopee favorit banget",POSITIF
Sangat bagus saya suka,POSITIF
Good online shop.....,POSITIF
"Pelanggan setia ,udh banyak barang aku trima dan semua nya menyenangkan makasih shopee Semoga menjadi aplikasi olshop pertama di indonesia",POSITIF
Shopee ok banget,POSITIF
Seneng..saran lbh banyak kin gratis ongkir..untuk pengguna pedagang online..keamanan ditingkatkan lagi,POSITIF
belanja aman dan banyak promo,POSITIF
Shopeepay joss ??,POSITIF
"Okeh.. Makasih uddah respon buat gratis ongkir cod nya wlwpun kebanyakan bonus cuma buat pengguna shopee pay.. Saran saya biar lebih banyak kalangan yang pakai shopee, bonus cashback pun di berikan kepada pembeli dengan mode cod.. Terimakasih",POSITIF
Belanja aman dan terpercaya. Mantul,POSITIF
Top markotop,POSITIF
Oke sangat mudah.dan membantu keinginan apapun bisa terwujut tidak perlu kemana2 cukup diam dirumah datang sendiri.shopi menurut saya seperti om jin..apa pun ke inginan saya terpenuhi??????,POSITIF
semogaaa lancar jayaa,POSITIF
Emang paling enak shoping online d shopee.. dapat gratis ongkir terus... Barang selalu sampai dengan aman.,POSITIF
Belanja apa aja itu mudah kalau belanjanya di SHOPEE??????,POSITIF
Suka bisa berlangganan di shopee.. tapi saldo shopeepayku di bekukan karena kemarin salah pin tolong dong di aktifkan lagii supaya saya bisa belanja lagii...,POSITIF
Pengiriman cepat dan memuaskan,POSITIF
Super duper mantul mah shopee harga murah banget banyak focher jg aku makin suka belanha di shopee,POSITIF
"Belanja lebih mudah dtn shopee banyak kupon gratisannya lagi,,mantaplah",POSITIF
"Trmksih shopee saya suka,pengiriman barang selalu cepat,barang tidak mengecewakan,,pokoknya the best buat shopee????????",POSITIF
Shopee ist the best...,POSITIF
Aplkasi yang sangat membantu disaat pandemi,POSITIF
"Sangat membantu sekali buat nyari2 barang, banyak variasi dan bisa banding2 harga antar toko.. Apalagi sekarang jadi bisa ikut jualan juga.. suka sekali ????",POSITIF
Mantap shopee ??,POSITIF
"Luar biasa, barang aman"" semua",POSITIF
Mantap,POSITIF
